area,item,year,hg/ha_yield,average_rainfall,presticides_tonnes,avg_temp
Albania,Soybeans,2005,17500,1485,880.64,15.67
Albania,Wheat,2005,31582,1485,880.64,15.67
Albania,Maize,2006,50111,1485,943.61,15.92
Albania,Potatoes,2006,170745,1485,943.61,15.92
Albania,Soybeans,2006,20000,1485,943.61,15.92
Albania,Wheat,2006,30787,1485,943.61,15.92
Albania,Maize,2007,46732,1485,1006.57,16.67
Albania,Potatoes,2007,188902,1485,1006.57,16.67
Albania,Soybeans,2007,20000,1485,1006.57,16.67
Albania,Wheat,2007,35496,1485,1006.57,16.67
Albania,Maize,2008,50000,1485,1069.54,16.71
Albania,Potatoes,2008,193878,1485,1069.54,16.71
Albania,Soybeans,2008,20000,1485,1069.54,16.71
Albania,Wheat,2008,40168,1485,1069.54,16.71
Albania,Maize,2009,55693,1485,1132.5,16.73
Albania,Potatoes,2009,219780,1485,1132.5,16.73
Albania,Soybeans,2009,16667,1485,1132.5,16.73
Albania,Wheat,2009,40229,1485,1132.5,16.73
Albania,Maize,2010,66790,1485,1311.17,16.52
Albania,Potatoes,2010,231111,1485,1311.17,16.52
Albania,Soybeans,2010,16667,1485,1311.17,16.52
Albania,Wheat,2010,39905,1485,1311.17,16.52
Albania,Maize,2011,59869,1485,1302.63,16.45
Albania,Potatoes,2011,242211,1485,1302.63,16.45
Albania,Soybeans,2011,18519,1485,1302.63,16.45
Albania,Wheat,2011,42301,1485,1302.63,16.45
Albania,Maize,2012,67290,1485,766.25,16.7
Albania,Potatoes,2012,250538,1485,766.25,16.7
Albania,Soybeans,2012,13333,1485,766.25,16.7
Albania,Wheat,2012,41096,1485,766.25,16.7
Albania,Maize,2013,69533,1485,982.32,17.41
Albania,Potatoes,2013,260110,1485,982.32,17.41
Albania,Soybeans,2013,10000,1485,982.32,17.41
Albania,Wheat,2013,41292,1485,982.32,17.41
Algeria,Maize,1990,16500,89,1828.92,17.48
Algeria,Potatoes,1990,78936,89,1828.92,17.48
Algeria,"Rice, paddy",1990,28000,89,1828.92,17.48
Algeria,Sorghum,1990,16571,89,1828.92,17.48
Algeria,Wheat,1990,6315,89,1828.92,17.48
Algeria,Maize,1991,19231,89,2461.8,16.26
Algeria,Potatoes,1991,90747,89,2461.8,16.26
Algeria,"Rice, paddy",1991,26786,89,2461.8,16.26
Algeria,Sorghum,1991,24231,89,2461.8,16.26
Algeria,Wheat,1991,10809,89,2461.8,16.26
Algeria,Maize,1992,22828,89,1215.47,16.27
Algeria,Potatoes,1992,107917,89,1215.47,16.27
Algeria,"Rice, paddy",1992,24733,89,1215.47,16.27
Algeria,Sorghum,1992,40000,89,1215.47,16.27
Algeria,Wheat,1992,9939,89,1215.47,16.27
Algeria,Maize,1993,12500,89,1021.89,17
Algeria,Potatoes,1993,111215,89,1021.89,17
Algeria,"Rice, paddy",1993,23111,89,1021.89,17
Algeria,Sorghum,1993,50000,89,1021.89,17
Algeria,Wheat,1993,8097,89,1021.89,17
Algeria,Maize,1994,4512,89,1255.02,17.88
Algeria,Potatoes,1994,95078,89,1255.02,17.88
Algeria,"Rice, paddy",1994,21374,89,1255.02,17.88
Algeria,Wheat,1994,7999,89,1255.02,17.88
Algeria,Maize,1995,16115,89,2697.09,17.36
Algeria,Potatoes,1995,136768,89,2697.09,17.36
Algeria,"Rice, paddy",1995,19598,89,2697.09,17.36
Algeria,Sorghum,1995,12667,89,2697.09,17.36
Algeria,Wheat,1995,8924,89,2697.09,17.36
Algeria,Maize,1996,17154,89,479.77,16.76
Algeria,Potatoes,1996,134629,89,479.77,16.76
Algeria,"Rice, paddy",1996,17861,89,479.77,16.76
Algeria,Sorghum,1996,14750,89,479.77,16.76
Algeria,Wheat,1996,13090,89,479.77,16.76
Algeria,Maize,1997,21417,89,401.22,17.84
Algeria,Potatoes,1997,141042,89,401.22,17.84
Algeria,"Rice, paddy",1997,15000,89,401.22,17.84
Algeria,Sorghum,1997,40000,89,401.22,17.84
Algeria,Wheat,1997,8016,89,401.22,17.84
Algeria,Maize,1998,17222,89,322.84,17.14
Algeria,Potatoes,1998,160256,89,322.84,17.14
Algeria,"Rice, paddy",1998,15000,89,322.84,17.14
Algeria,Sorghum,1998,24500,89,322.84,17.14
Algeria,Wheat,1998,8847,89,322.84,17.14
Algeria,Maize,1999,22375,89,654.45,17.97
Algeria,Potatoes,1999,153532,89,654.45,17.97
Algeria,"Rice, paddy",1999,13942,89,654.45,17.97
Algeria,Sorghum,1999,27000,89,654.45,17.97
Algeria,Wheat,1999,10711,89,654.45,17.97
Algeria,Maize,2000,36186,89,603.67,17.9
Algeria,Potatoes,2000,166143,89,603.67,17.9
Algeria,"Rice, paddy",2000,13052,89,603.67,17.9
Algeria,Sorghum,2000,69500,89,603.67,17.9
Algeria,Wheat,2000,9194,89,603.67,17.9
Algeria,Maize,2001,27175,89,710.11,18.13
Algeria,Potatoes,2001,147018,89,710.11,18.13
Algeria,"Rice, paddy",2001,12314,89,710.11,18.13
Algeria,Sorghum,2001,27750,89,710.11,18.13
Algeria,Wheat,2001,11104,89,710.11,18.13
Algeria,Maize,2002,33480,89,816.55,17.85
Algeria,Potatoes,2002,183774,89,816.55,17.85
Algeria,"Rice, paddy",2002,12959,89,816.55,17.85
Algeria,Sorghum,2002,33900,89,816.55,17.85
Algeria,Wheat,2002,10739,89,816.55,17.85
Algeria,Maize,2004,31729,89,3747.86,17.38
Algeria,Potatoes,2004,203585,89,3747.86,17.38
Algeria,"Rice, paddy",2004,12829,89,3747.86,17.38
Algeria,Sorghum,2004,43316,89,3747.86,17.38
Algeria,Wheat,2004,13582,89,3747.86,17.38
Algeria,Maize,2005,33864,89,3662.87,17.19
Algeria,Potatoes,2005,216267,89,3662.87,17.19
Algeria,"Rice, paddy",2005,12998,89,3662.87,17.19
Algeria,Sorghum,2005,33486,89,3662.87,17.19
Algeria,Wheat,2005,15057,89,3662.87,17.19
Algeria,Maize,2006,65668,89,4110.72,18.13
Algeria,Potatoes,2006,220689,89,4110.72,18.13
Algeria,"Rice, paddy",2006,12769,89,4110.72,18.13
Algeria,Sorghum,2006,56728,89,4110.72,18.13
Algeria,Wheat,2006,15068,89,4110.72,18.13
Algeria,Maize,2007,85625,89,5390.79,17.42
Algeria,Potatoes,2007,189927,89,5390.79,17.42
Algeria,"Rice, paddy",2007,13375,89,5390.79,17.42
Algeria,Sorghum,2007,119059,89,5390.79,17.42
Algeria,Wheat,2007,12742,89,5390.79,17.42
Algeria,Maize,2008,44714,89,11556.12,17.55
Algeria,Potatoes,2008,236393,89,11556.12,17.55
Algeria,"Rice, paddy",2008,13952,89,11556.12,17.55
Algeria,Sorghum,2008,61786,89,11556.12,17.55
Algeria,Wheat,2008,11038,89,11556.12,17.55
Algeria,Maize,2009,30914,89,3867.99,17.78
Algeria,Potatoes,2009,250764,89,3867.99,17.78
Algeria,"Rice, paddy",2009,14594,89,3867.99,17.78
Algeria,Sorghum,2009,90465,89,3867.99,17.78
Algeria,Wheat,2009,15975,89,3867.99,17.78
Algeria,Maize,2010,25827,89,1295.88,17.59
Algeria,Potatoes,2010,270526,89,1295.88,17.59
Algeria,"Rice, paddy",2010,15305,89,1295.88,17.59
Algeria,Sorghum,2010,30286,89,1295.88,17.59
Algeria,Wheat,2010,14838,89,1295.88,17.59
Algeria,Maize,2011,23374,89,13861.76,17.79
Algeria,Potatoes,2011,292806,89,13861.76,17.79
Algeria,"Rice, paddy",2011,16081,89,13861.76,17.79
Algeria,Sorghum,2011,100000,89,13861.76,17.79
Algeria,Wheat,2011,17405,89,13861.76,17.79
Algeria,Maize,2012,25583,89,17379.76,17.91
Algeria,Potatoes,2012,304291,89,17379.76,17.91
Algeria,"Rice, paddy",2012,16667,89,17379.76,17.91
Algeria,Sorghum,2012,206000,89,17379.76,17.91
Algeria,Wheat,2012,17639,89,17379.76,17.91
Algeria,Maize,2013,33649,89,17278.65,17.65
Algeria,Potatoes,2013,303218,89,17278.65,17.65
Algeria,"Rice, paddy",2013,17778,89,17278.65,17.65
Algeria,Sorghum,2013,60000,89,17278.65,17.65
Algeria,Wheat,2013,19100,89,17278.65,17.65
Angola,Cassava,1990,41177,1010,64,24.12
Angola,Maize,1990,2736,1010,64,24.12
Angola,Potatoes,1990,40000,1010,64,24.12
Angola,"Rice, paddy",1990,9512,1010,64,24.12
Angola,Sweet potatoes,1990,89342,1010,64,24.12
Angola,Wheat,1990,7995,1010,64,24.12
Angola,Cassava,1991,40295,1010,79,24.02
Angola,Maize,1991,4013,1010,79,24.02
Angola,Potatoes,1991,40000,1010,79,24.02
Angola,"Rice, paddy",1991,10000,1010,79,24.02
Angola,Sweet potatoes,1991,83001,1010,79,24.02
Angola,Wheat,1991,8000,1010,79,24.02
Angola,Cassava,1992,42295,1010,23,23.96
Angola,Maize,1992,3778,1010,23,23.96
Angola,Potatoes,1992,40000,1010,23,23.96
Angola,"Rice, paddy",1992,9106,1010,23,23.96
Angola,Sweet potatoes,1992,90000,1010,23,23.96
Angola,Wheat,1992,8000,1010,23,23.96
Angola,Cassava,1993,42295,1010,169,24.15
Angola,Maize,1993,2627,1010,169,24.15
Angola,Potatoes,1993,70000,1010,169,24.15
Angola,"Rice, paddy",1993,8000,1010,169,24.15
Angola,Sweet potatoes,1993,88095,1010,169,24.15
Angola,Wheat,1993,8876,1010,169,24.15
Angola,Cassava,1994,58596,1010,25.5,24.04
Angola,Maize,1994,2463,1010,25.5,24.04
Angola,Potatoes,1994,90000,1010,25.5,24.04
Angola,"Rice, paddy",1994,8750,1010,25.5,24.04
Angola,Sweet potatoes,1994,83192,1010,25.5,24.04
Angola,Wheat,1994,10000,1010,25.5,24.04
Angola,Cassava,1995,51000,1010,336,24.56
Angola,Maize,1995,3517,1010,336,24.56
Angola,Potatoes,1995,76738,1010,336,24.56
Angola,"Rice, paddy",1995,14615,1010,336,24.56
Angola,Sweet potatoes,1995,81138,1010,336,24.56
Angola,Wheat,1995,11855,1010,336,24.56
Angola,Cassava,1996,48077,1010,40,24.11
Angola,Maize,1996,6993,1010,40,24.11
Angola,Potatoes,1996,70000,1010,40,24.11
Angola,"Rice, paddy",1996,17500,1010,40,24.11
Angola,Sweet potatoes,1996,85455,1010,40,24.11
Angola,Wheat,1996,13738,1010,40,24.11
Angola,Cassava,1997,44205,1010,40,24.06
Angola,Maize,1997,5959,1010,40,24.06
Angola,Potatoes,1997,68571,1010,40,24.06
Angola,"Rice, paddy",1997,20000,1010,40,24.06
Angola,Sweet potatoes,1997,78098,1010,40,24.06
Angola,Wheat,1997,15509,1010,40,24.06
Angola,Cassava,1998,55728,1010,40,24.96
Angola,Maize,1998,7396,1010,40,24.96
Angola,Potatoes,1998,62724,1010,40,24.96
Angola,"Rice, paddy",1998,20000,1010,40,24.96
Angola,Sweet potatoes,1998,76256,1010,40,24.96
Angola,Wheat,1998,17143,1010,40,24.96
Angola,Cassava,1999,59821,1010,40,24.37
Angola,Maize,1999,6361,1010,40,24.37
Angola,Potatoes,1999,54597,1010,40,24.37
Angola,"Rice, paddy",1999,14235,1010,40,24.37
Angola,Sweet potatoes,1999,82865,1010,40,24.37
Angola,Wheat,1999,17391,1010,40,24.37
Angola,Cassava,2000,82992,1010,40,24.41
Angola,Maize,2000,5745,1010,40,24.41
Angola,Potatoes,2000,29885,1010,40,24.41
Angola,"Rice, paddy",2000,13454,1010,40,24.41
Angola,Sorghum,2000,3333,1010,40,24.41
Angola,Soybeans,2000,2333,1010,40,24.41
Angola,Sweet potatoes,2000,34938,1010,40,24.41
Angola,Wheat,2000,17023,1010,40,24.41
Angola,Cassava,2001,94072,1010,40,24.43
Angola,Maize,2001,5754,1010,40,24.43
Angola,Potatoes,2001,42552,1010,40,24.43
Angola,"Rice, paddy",2001,13701,1010,40,24.43
Angola,Sorghum,2001,3571,1010,40,24.43
Angola,Soybeans,2001,2500,1010,40,24.43
Angola,Sweet potatoes,2001,44458,1010,40,24.43
Angola,Wheat,2001,16667,1010,40,24.43
Angola,Cassava,2002,110071,1010,40,24.79
Angola,Maize,2002,6706,1010,40,24.79
Angola,Potatoes,2002,42754,1010,40,24.79
Angola,"Rice, paddy",2002,13198,1010,40,24.79
Angola,Sorghum,2002,3400,1010,40,24.79
Angola,Soybeans,2002,2857,1010,40,24.79
Angola,Sweet potatoes,2002,42190,1010,40,24.79
Angola,Wheat,2002,15455,1010,40,24.79
Angola,Cassava,2004,125605,1010,40,24.22
Angola,Maize,2004,5404,1010,40,24.22
Angola,Potatoes,2004,20150,1010,40,24.22
Angola,"Rice, paddy",2004,11584,1010,40,24.22
Angola,Sorghum,2004,3333,1010,40,24.22
Angola,Soybeans,2004,3600,1010,40,24.22
Angola,Sweet potatoes,2004,45360,1010,40,24.22
Angola,Wheat,2004,12442,1010,40,24.22
Angola,Cassava,2005,117628,1010,40,24.41
Angola,Maize,2005,6736,1010,40,24.41
Angola,Potatoes,2005,23646,1010,40,24.41
Angola,"Rice, paddy",2005,6977,1010,40,24.41
Angola,Sorghum,2005,3333,1010,40,24.41
Angola,Soybeans,2005,3793,1010,40,24.41
Angola,Sweet potatoes,2005,46159,1010,40,24.41
Angola,Wheat,2005,10946,1010,40,24.41
Angola,Cassava,2006,117201,1010,40,24.14
Angola,Maize,2006,4687,1010,40,24.14
Angola,Potatoes,2006,52148,1010,40,24.14
Angola,"Rice, paddy",2006,4947,1010,40,24.14
Angola,Sorghum,2006,4091,1010,40,24.14
Angola,Soybeans,2006,4286,1010,40,24.14
Angola,Sweet potatoes,2006,44240,1010,40,24.14
Angola,Wheat,2006,10000,1010,40,24.14
Angola,Cassava,2007,115387,1010,40,24.24
Angola,Maize,2007,5091,1010,40,24.24
Angola,Potatoes,2007,62138,1010,40,24.24
Angola,"Rice, paddy",2007,5143,1010,40,24.24
Angola,Sorghum,2007,4031,1010,40,24.24
Angola,Soybeans,2007,6883,1010,40,24.24
Angola,Sweet potatoes,2007,58855,1010,40,24.24
Angola,Wheat,2007,10000,1010,40,24.24
Angola,Cassava,2008,148084,1010,40,24.27
Angola,Maize,2008,7946,1010,40,24.27
Angola,Potatoes,2008,85085,1010,40,24.27
Angola,"Rice, paddy",2008,5084,1010,40,24.27
Angola,Sorghum,2008,929,1010,40,24.27
Angola,Soybeans,2008,8575,1010,40,24.27
Angola,Sweet potatoes,2008,65437,1010,40,24.27
Angola,Wheat,2008,10000,1010,40,24.27
Angola,Cassava,2009,151759,1010,40,24.33
Angola,Maize,2009,6614,1010,40,24.33
Angola,Potatoes,2009,86509,1010,40,24.33
Angola,"Rice, paddy",2009,6028,1010,40,24.33
Angola,Sorghum,2009,2480,1010,40,24.33
Angola,Soybeans,2009,4449,1010,40,24.33
Angola,Sweet potatoes,2009,66475,1010,40,24.33
Angola,Wheat,2009,10000,1010,40,24.33
Angola,Cassava,2010,155782,1010,40,24.44
Angola,Maize,2010,7200,1010,40,24.44
Angola,Potatoes,2010,87425,1010,40,24.44
Angola,"Rice, paddy",2010,7403,1010,40,24.44
Angola,Sorghum,2010,2814,1010,40,24.44
Angola,Soybeans,2010,4446,1010,40,24.44
Angola,Sweet potatoes,2010,63001,1010,40,24.44
Angola,Wheat,2010,10526,1010,40,24.44
Angola,Cassava,2011,133649,1010,40,24.15
Angola,Maize,2011,7376,1010,40,24.15
Angola,Potatoes,2011,81366,1010,40,24.15
Angola,"Rice, paddy",2011,8914,1010,40,24.15
Angola,Sorghum,2011,3320,1010,40,24.15
Angola,Soybeans,2011,5294,1010,40,24.15
Angola,Sweet potatoes,2011,65512,1010,40,24.15
Angola,Wheat,2011,10959,1010,40,24.15
Angola,Cassava,2012,100073,1010,40,24.24
Angola,Maize,2012,7770,1010,40,24.24
Angola,Potatoes,2012,69381,1010,40,24.24
Angola,"Rice, paddy",2012,7703,1010,40,24.24
Angola,Sorghum,2012,998,1010,40,24.24
Angola,Soybeans,2012,1641,1010,40,24.24
Angola,Sweet potatoes,2012,52954,1010,40,24.24
Angola,Wheat,2012,11258,1010,40,24.24
Angola,Cassava,2013,140517,1010,40,24.55
Angola,Maize,2013,9467,1010,40,24.55
Angola,Potatoes,2013,63303,1010,40,24.55
Angola,"Rice, paddy",2013,12744,1010,40,24.55
Angola,Sorghum,2013,2415,1010,40,24.55
Angola,Soybeans,2013,4405,1010,40,24.55
Angola,Sweet potatoes,2013,73409,1010,40,24.55
Angola,Wheat,2013,9022,1010,40,24.55
Argentina,Cassava,1990,100000,591,26156,17.46
Argentina,Cassava,1990,100000,591,26156,17.67
Argentina,Maize,1990,34608,591,26156,17.46
Argentina,Maize,1990,34608,591,26156,17.67
Argentina,Potatoes,1990,202747,591,26156,17.46
Argentina,Potatoes,1990,202747,591,26156,17.67
Argentina,"Rice, paddy",1990,36709,591,26156,17.46
Argentina,"Rice, paddy",1990,36709,591,26156,17.67
Argentina,Sorghum,1990,28116,591,26156,17.46
Argentina,Sorghum,1990,28116,591,26156,17.67
Argentina,Soybeans,1990,21566,591,26156,17.46
Argentina,Soybeans,1990,21566,591,26156,17.67
Argentina,Sweet potatoes,1990,131864,591,26156,17.46
Argentina,Sweet potatoes,1990,131864,591,26156,17.67
Argentina,Wheat,1990,18947,591,26156,17.46
Argentina,Wheat,1990,18947,591,26156,17.67
Argentina,Cassava,1991,100000,591,26156,17.64
Argentina,Cassava,1991,100000,591,26156,17.86
Argentina,Maize,1991,40444,591,26156,17.64
Argentina,Maize,1991,40444,591,26156,17.86
Argentina,Potatoes,1991,205692,591,26156,17.64
Argentina,Potatoes,1991,205692,591,26156,17.86
Argentina,"Rice, paddy",1991,40294,591,26156,17.64
Argentina,"Rice, paddy",1991,40294,591,26156,17.86
Argentina,Sorghum,1991,33320,591,26156,17.64
Argentina,Sorghum,1991,33320,591,26156,17.86
Argentina,Soybeans,1991,22750,591,26156,17.64
Argentina,Soybeans,1991,22750,591,26156,17.86
Argentina,Sweet potatoes,1991,131364,591,26156,17.64
Argentina,Sweet potatoes,1991,131364,591,26156,17.86
Argentina,Wheat,1991,18972,591,26156,17.64
Argentina,Wheat,1991,18972,591,26156,17.86
Argentina,Cassava,1992,100000,591,26156,17.09
Argentina,Cassava,1992,100000,591,26156,17.51
Argentina,Maize,1992,45237,591,26156,17.09
Argentina,Maize,1992,45237,591,26156,17.51
Argentina,Potatoes,1992,199039,591,26156,17.09
Argentina,Potatoes,1992,199039,591,26156,17.51
Argentina,"Rice, paddy",1992,52075,591,26156,17.09
Argentina,"Rice, paddy",1992,52075,591,26156,17.51
Argentina,Sorghum,1992,36217,591,26156,17.09
Argentina,Sorghum,1992,36217,591,26156,17.51
Argentina,Soybeans,1992,22915,591,26156,17.09
Argentina,Soybeans,1992,22915,591,26156,17.51
Argentina,Sweet potatoes,1992,127273,591,26156,17.09
Argentina,Sweet potatoes,1992,127273,591,26156,17.51
Argentina,Wheat,1992,21809,591,26156,17.09
Argentina,Wheat,1992,21809,591,26156,17.51
Argentina,Cassava,1993,100000,591,26156,17.32
Argentina,Cassava,1993,100000,591,26156,17.53
Argentina,Maize,1993,43552,591,26156,17.32
Argentina,Maize,1993,43552,591,26156,17.53
Argentina,Potatoes,1993,210314,591,26156,17.32
Argentina,Potatoes,1993,210314,591,26156,17.53
Argentina,"Rice, paddy",1993,43559,591,26156,17.32
Argentina,"Rice, paddy",1993,43559,591,26156,17.53
Argentina,Sorghum,1993,39529,591,26156,17.32
Argentina,Sorghum,1993,39529,591,26156,17.53
Argentina,Soybeans,1993,21589,591,26156,17.32
Argentina,Soybeans,1993,21589,591,26156,17.53
Argentina,Sweet potatoes,1993,122955,591,26156,17.32
Argentina,Sweet potatoes,1993,122955,591,26156,17.53
Argentina,Wheat,1993,23272,591,26156,17.32
Argentina,Wheat,1993,23272,591,26156,17.53
Argentina,Cassava,1994,100000,591,30195,18.17
Argentina,Cassava,1994,100000,591,30195,18.31
Argentina,Maize,1994,42371,591,30195,18.17
Argentina,Maize,1994,42371,591,30195,18.31
Argentina,Potatoes,1994,230166,591,30195,18.17
Argentina,Potatoes,1994,230166,591,30195,18.31
Argentina,"Rice, paddy",1994,42989,591,30195,18.17
Argentina,"Rice, paddy",1994,42989,591,30195,18.31
Argentina,Sorghum,1994,35065,591,30195,18.17
Argentina,Sorghum,1994,35065,591,30195,18.31
Argentina,Soybeans,1994,20386,591,30195,18.17
Argentina,Soybeans,1994,20386,591,30195,18.31
Argentina,Sweet potatoes,1994,176667,591,30195,18.17
Argentina,Sweet potatoes,1994,176667,591,30195,18.31
Argentina,Wheat,1994,20237,591,30195,18.17
Argentina,Wheat,1994,20237,591,30195,18.31
Argentina,Cassava,1995,100000,591,37842,17.74
Argentina,Cassava,1995,100000,591,37842,17.62
Argentina,Maize,1995,45223,591,37842,17.74
Argentina,Maize,1995,45223,591,37842,17.62
Argentina,Potatoes,1995,274272,591,37842,17.74
Argentina,Potatoes,1995,274272,591,37842,17.62
Argentina,"Rice, paddy",1995,50306,591,37842,17.74
Argentina,"Rice, paddy",1995,50306,591,37842,17.62
Argentina,Sorghum,1995,34588,591,37842,17.74
Argentina,Sorghum,1995,34588,591,37842,17.62
Argentina,Soybeans,1995,20446,591,37842,17.74
Argentina,Soybeans,1995,20446,591,37842,17.62
Argentina,Sweet potatoes,1995,168000,591,37842,17.74
Argentina,Sweet potatoes,1995,168000,591,37842,17.62
Argentina,Wheat,1995,21675,591,37842,17.74
Argentina,Wheat,1995,21675,591,37842,17.62
Argentina,Cassava,1996,100000,591,54595,17.64
Argentina,Cassava,1996,100000,591,54595,17.97
Argentina,Maize,1996,40397,591,54595,17.64
Argentina,Maize,1996,40397,591,54595,17.97
Argentina,Potatoes,1996,228877,591,54595,17.64
Argentina,Potatoes,1996,228877,591,54595,17.97
Argentina,"Rice, paddy",1996,51031,591,54595,17.64
Argentina,"Rice, paddy",1996,51031,591,54595,17.97
Argentina,Sorghum,1996,38763,591,54595,17.64
Argentina,Sorghum,1996,38763,591,54595,17.97
Argentina,Soybeans,1996,21051,591,54595,17.64
Argentina,Soybeans,1996,21051,591,54595,17.97
Argentina,Sweet potatoes,1996,170000,591,54595,17.64
Argentina,Sweet potatoes,1996,170000,591,54595,17.97
Argentina,Wheat,1996,19344,591,54595,17.64
Argentina,Wheat,1996,19344,591,54595,17.97
Argentina,Cassava,1997,100000,591,77691,18.29
Argentina,Cassava,1997,100000,591,77691,18.54
Argentina,Maize,1997,45557,591,77691,18.29
Argentina,Maize,1997,45557,591,77691,18.54
Argentina,Potatoes,1997,268502,591,77691,18.29
Argentina,Potatoes,1997,268502,591,77691,18.54
Argentina,"Rice, paddy",1997,53703,591,77691,18.29
Argentina,"Rice, paddy",1997,53703,591,77691,18.54
Argentina,Sorghum,1997,36845,591,77691,18.29
Argentina,Sorghum,1997,36845,591,77691,18.54
Argentina,Soybeans,1997,17212,591,77691,18.29
Argentina,Soybeans,1997,17212,591,77691,18.54
Argentina,Sweet potatoes,1997,145662,591,77691,18.29
Argentina,Sweet potatoes,1997,145662,591,77691,18.54
Argentina,Wheat,1997,22426,591,77691,18.29
Argentina,Wheat,1997,22426,591,77691,18.54
Argentina,Cassava,1998,100000,591,62397,17.23
Argentina,Cassava,1998,100000,591,62397,17.52
Argentina,Maize,1998,60780,591,62397,17.23
Argentina,Maize,1998,60780,591,62397,17.52
Argentina,Potatoes,1998,293744,591,62397,17.23
Argentina,Potatoes,1998,293744,591,62397,17.52
Argentina,"Rice, paddy",1998,47762,591,62397,17.23
Argentina,"Rice, paddy",1998,47762,591,62397,17.52
Argentina,Sorghum,1998,48105,591,62397,17.23
Argentina,Sorghum,1998,48105,591,62397,17.52
Argentina,Soybeans,1998,26937,591,62397,17.23
Argentina,Soybeans,1998,26937,591,62397,17.52
Argentina,Sweet potatoes,1998,175055,591,62397,17.23
Argentina,Sweet potatoes,1998,175055,591,62397,17.52
Argentina,Wheat,1998,26088,591,62397,17.23
Argentina,Wheat,1998,26088,591,62397,17.52
Argentina,Cassava,1999,100000,591,62831.39,17.15
Argentina,Cassava,1999,100000,591,62831.39,17.71
Argentina,Maize,1999,53702,591,62831.39,17.15
Argentina,Maize,1999,53702,591,62831.39,17.71
Argentina,Potatoes,1999,238938,591,62831.39,17.15
Argentina,Potatoes,1999,238938,591,62831.39,17.71
Argentina,"Rice, paddy",1999,57337,591,62831.39,17.15
Argentina,"Rice, paddy",1999,57337,591,62831.39,17.71
Argentina,Sorghum,1999,43845,591,62831.39,17.15
